File name (local);Journal;Database;CC Type;Special CC Type;Attribute/Variable;Special Data Type;Multivariate;Distribution-free;Distribution;Computation method;Performance metric;Economic Design
amdouni2017;ijpr;EconBiz;Shewhart;Adaptive;Variable;;n;n;Normal;Markov Chain Approach;ATS, overall;n
aslam2015;ijpr;EconBiz;Shewhart;;Variable and Attribute;;n;n;Normal, Binomial;(Monte Carlo) Simulation, Analytically;ARL;n
avakdarestani2016;ijqrm;EconBiz;Shewhart;;Variable;;n;n;Normal;Analytically;PCA;n
bahria2019;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;Analytically;-;y
baud-lavigne2010;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;y
celano2016;ijpr;EconBiz;Shewhart;;Variable;;n;y;Normal, t, Gamma;Analytically;FAR;n
celano2020;ijpr;EconBiz;Shewhart;;Variable;;n;y;Normal, t, Gamma;(Monte Carlo) Simulation, Analytically;FAR;n
chang2010;ijpr;EconBiz;Shewhart;;Variable;Profile / Surface;y;n;Normal;(Monte Carlo) Simulation;ARL;n
chien2013;ijpr;EconBiz;Shewhart;;Variable;;n;n;Lognormal;not mentioned;-;n
chou2013;ijpr;EconBiz;EWMA;;Variable;Profile / Surface;y;n;Regression, Normal;(Monte Carlo) Simulation;ARL;n
colosimo2010;ijpr;EconBiz;Shewhart;;Variable;Profile / Surface, Autocorrelated;y;n;Time Series Model, Normal;(Monte Carlo) Simulation, Analytically;ARL, FAR;n
ding2016;ijpr;EconBiz;Shewhart;;Variable and Attribute;Profile / Surface;y;n;Regression, Multinomial, Normal;(Monte Carlo) Simulation;ARL;n
du2012;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal;not mentioned;-;n
faraz2015;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
faraz2017;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
fernandez2014;ijpr;EconBiz;Shewhart;;Attribute;;y;n;Multinomial;not mentioned;-;n
garcia-bustos2014;ijpr;EconBiz;EWMA;;Attribute;;y;n;Poisson;Markov Chain Approach;ARL;n
goedhart2016;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL, overall;n
graham2014;ijpr;EconBiz;CUSUM;;Variable;;n;y;Normal, t, Exponential, Laplace, Lognormal;(Monte Carlo) Simulation;ARL;n
graham2016;ijpr;EconBiz;EWMA;;Variable;;n;y;Normal, Exponential, Laplace;(Monte Carlo) Simulation;ARL;n
haridy2014;ijpr;EconBiz;Shewhart;;Attribute;;n;n;Normal;Numerical Integration, Analytically;ATS, overall;n
he2013;ijpr;EconBiz;Shewhart;;Variable and Attribute;;y;n;Normal;(Monte Carlo) Simulation;ARL, classification;n
he2015;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
he2021;ijpr;EconBiz;CUSUM;;Variable and Attribute;TBE;y;y;Regression, Normal, t, Gamma, Exponential;(Monte Carlo) Simulation;ARL;n
hou2021;ijpr;EconBiz;CUSUM;;Variable;;n;y;Normal, t, Lognormal;(Monte Carlo) Simulation;ARL;n
hu2015;ijpr;EconBiz;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;Markov Chain Approach;ARL;y
hu2016;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal;not mentioned;-;n
joghee2017;ijqrm;EconBiz;Shewhart;;Variable;;n;n;Normal;Analytically;ARL;n
kang2013;ijpr;EconBiz;Shewhart;;Variable;;y;y;Normal, inhomogeneous normal, banana-shaped;(Monte Carlo) Simulation;ARL;n
lee2012-1;ijpr;EconBiz;CUSUM;;Variable;Profile / Surface;y;y;Regression, Normal and Non-Normal;(Monte Carlo) Simulation;ARL;n
leoni2015;ijpr;EconBiz;Shewhart;;Variable;Autocorrelated;y;n;Time Series Model, Normal;Analytically;ARL;n
li2010-econbiz;ijpr;EconBiz;CUSUM;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ATS;n
li2010-1;ijpr;EconBiz;CUSUM;Adaptive;Variable;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
li2010-2;ijpr;EconBiz;EWMA;;Variable;;n;n;Normal;(Monte Carlo) Simulation, Markov Chain Approach;ARL;n
li2016;ijpr;EconBiz;Shewhart;;Variable;;n;y;Normal, t, Gamma;(Monte Carlo) Simulation, Numerical Integration;-;y
li2020;ijpr;EconBiz;CUSUM;;Attribute;;y;y;Normal, t;(Monte Carlo) Simulation;ARL;n
liu2013-1;ijpr;EconBiz;CUSUM;Adaptive;Variable;;n;y;Normal, t, Gamma, Chi-squared;(Monte Carlo) Simulation;ARL, comparison;n
machado2014;ijpr;EconBiz;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;Markov Chain Approach;ARL;n
mukherjee2015;ijpr;EconBiz;Shewhart;;Variable;;n;y;Normal, t, Gamma, Exponential, Laplace, Lognormal, Loglogistic;(Monte Carlo) Simulation;ARL;n
nenes2014;ijpr;EconBiz;Shewhart;Adaptive;Variable;;n;n;Normal;Markov Chain Approach;ARL, FAR;y
pan2012;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;Analytically;ARL;y
qu2017-1;ijpr;EconBiz;CUSUM;;Variable;TBE;n;n;Exponential;Markov Chain Approach, Numerical Integration;ATS;n
quinino2015;jors;EconBiz;Shewhart;;Variable and Attribute;;n;n;Normal;(Monte Carlo) Simulation;ARL;n
safaei2015;ijpr;EconBiz;Shewhart;;Variable;;n;n;Normal;(Monte Carlo) Simulation;ATS;y
seif2015;ijpr;EconBiz;Shewhart;Adaptive;Variable;;n;n;Burr;(Monte Carlo) Simulation;ATS,  FAR;y
shen2013;ijpr;EconBiz;EWMA;;Variable;;y;n;Normal;(Monte Carlo) Simulation;ARL;n
tran2016;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal;Analytically;ARL, overall;n
wei2016;ijpr;EconBiz;Shewhart;;Variable;;y;n;Normal, t, Gamma;(Monte Carlo) Simulation, Analytically;ARL;n
wu2010-econbiz;ijpr;EconBiz;Shewhart;Synthetic;Variable and Attribute;;n;n;Normal;Numerical Integration, Analytically;ARL, overall, comparison;n
